plan_type,fpl_range,premium_min,deductible,oop_medical_ind,oop_medical_fam,oop_rx_ind,oop_rx_fam,preventive,pcp,specialist,mental_health_out,speech_ot_pt,er,urgent_care,outpatient_surgery,inpatient,imaging,lab_xray,snf,rx_generic,rx_pref_brand,rx_nonpref_brand,rx_specialty
Type 1,0–100%,0,0,0,0,250,500,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Type 2A,100–150%,0,0,750,1500,500,1000,0,0,18,0,10,50,18,50,50,30,0,0,10.0,20,40,40
Type 2B,150–200%,51,0,750,1500,500,1000,0,0,18,0,10,50,18,50,50,30,0,0,10.0,20,40,40
Type 3A,200–250%,99,0,1500,3000,750,1500,0,0,22,0,20,100,22,125,250,60,0,0,12.5,25,50,50
Type 3B,250–300%,147,0,1500,3000,750,1500,0,0,22,0,20,100,22,125,250,60,0,0,12.5,25,50,50
Type 3C,300–400%,226,0,1500,3000,750,1500,0,0,22,0,20,100,22,125,250,60,0,0,12.5,25,50,50
Type 3D,400–500%,264,0,1500,3000,750,1500,0,0,22,0,20,100,22,125,250,60,0,0,12.5,25,50,50
